date,favourite,retweet,pred,ma4
2020-04-21,12653.667,1975.6666,.33579105,.1417613
2020-04-22,7539.6665,2612.3333,.26353335,.21907519
2020-04-23,5662.5,1475.5,.21611957,.23048702
2020-04-24,1777.3334,798.33331,.12655263,.21728441
2020-04-25,5662,696.14288,.32705078,.23549914
2020-04-26,5274.9487,698.10254,.37980741,.23331408
2020-04-27,18427,3460.5,.0077628735,.2623826
2020-04-28,4240,554,.037599713,.21029343
2020-04-29,8365.167,3325.8889,.21418147,.18805519
2020-04-30,4986,1468.4546,.2019539,.15983787
2020-05-01,4594.6001,1062.2,.27603155,.11537449
2020-05-02,1290.2,356.60001,.29726428,.18244165
2020-05-03,58796,10140,.0030293262,.2473578
2020-05-04,9173,2378.5,.28127775,.19456977
2020-05-05,2290,1540.25,.20773859,.21440072
2020-05-06,0,939,.047282148,.19732748
2020-05-07,9101,2285,.17842557,.13483195
2020-05-08,1928.8334,1321.8334,.074471124,.17868102
2020-05-09,2957.6111,1065.7222,.16985042,.12697935
2020-05-10,6465.5,1617,.18725628,.11750732
2020-05-11,3445.6667,1099.5555,.18570495,.15250085
2020-05-12,0,785.83331,.0088566886,.15432069
2020-05-13,0,457.5625,.10838852,.13791709
2020-05-14,0,873.33331,.5362336,.12255161
2020-05-15,5797.75,1478.8125,.32565218,.20979594
2020-05-16,0,787.33331,.222046,.24478275
2020-05-17,17055.555,4167.8887,.068748564,.29808009
2020-05-18,0,331.57144,.054729972,.2881701
2020-05-19,9061.25,1986,.25540102,.16779418
2020-05-20,0,781,.56557661,.15023139
2020-05-21,9092,1816.5,.13602628,.23611404
2020-05-22,4418.1665,1068.3334,.063592367,.25293347
2020-05-23,3257.6001,1303.2,.12425467,.25514907
2020-05-24,780.94873,964.66669,.082896501,.22236249
2020-05-25,6237.7778,2575.3333,.097879425,.10169245
2020-05-26,1901.3889,573.61108,.059914339,.09215574
2020-05-27,3919.6667,1035,.24951975,.091236234
2020-05-28,5597,1162.5,.18406484,.12255251
2020-05-29,3176.5,913.5,.10593447,.14784458
2020-05-30,0,388.5,.0020130794,.14985836
2020-05-31,494.25,566.75,.21776031,.13538304
2020-06-01,3193.6667,2670.6667,.0021903489,.12744318
2020-06-02,28559.25,4250.5,.39788735,.081974551
2020-06-03,13312,2074.1428,.18211909,.15496278
2020-06-04,0,1063,.33389124,.19998927
2020-06-05,1466,751.66669,.30808946,.22902201
2020-06-06,7694,1734,.043598402,.30549678
2020-06-07,8200.667,1331.3334,.0065233517,.21692455
2020-06-08,6716.2002,2065.2,.19020647,.17302561
2020-06-09,0,825.16669,.060849641,.13710442
2020-06-10,11449.571,1786.4286,.1760534,.075294465
2020-06-11,6320.2002,1061,.042172845,.10840821
2020-06-12,7433.375,1570.75,.27276066,.11732059
2020-06-13,67.727272,577.09088,.14535557,.13795914
2020-06-14,0,315.77777,.084240697,.15908562
2020-06-15,0,296,.26656792,.13613245
2020-06-17,0,595.20001,.37651914,.16538806
2020-06-18,773.10529,1030,.13578604,.24244258
2020-06-19,0,715.75,.058757681,.25962436
2020-06-20,1776,776.08698,.1366902,.19035429
2020-06-21,17394.5,3469.5,.0032800885,.17693827
2020-06-22,0,872.33331,.058835145,.083628505
2020-06-23,7084.3335,1728.3334,.11459547,.064390779
2020-06-24,0,682,.77745259,.078350224
2020-06-25,3000.3333,683.66669,.1695734,.23854083
2020-06-26,3767.4167,999,.1575131,.28011414
2020-06-27,1488.55,748.20001,.061964959,.30478364
2020-06-28,32337,5686,.082224339,.29162601
2020-06-29,5876,1540.6666,.20319618,.11781895
2020-06-30,2676.25,805,.25630391,.12622464
2020-07-01,9653,2190,.16275413,.15092234
2020-07-02,7096,1584,.0049512233,.17611964
2020-07-03,1126.6,824.20001,.025332831,.15680136
2020-07-04,0,925.75,.0069239531,.11233553
2020-07-05,2226.8333,1431,.12531638,.049990535
2020-07-06,7328,786,.031855591,.040631097
2020-07-07,1437.5,1841.5,.25337645,.04735719
2020-07-09,510.15384,694,.22348361,.13684948
2020-07-10,3544.3333,1646.6666,.11443958,.16957188
2020-07-11,0,2904,.0024536215,.19709988
2020-07-12,8134,1950.8,.17116044,.11345894
2020-07-14,3179.7,599.09998,.23490046,.096017882
2020-07-15,4556.2222,1480.2778,.10697892,.1361715
2020-07-17,1956,1039.0909,.12772612,.17093968
2020-07-18,3732,1119.3334,.18330874,.15653516
2020-07-19,0,513.45453,.17621635,.13933793
2020-07-20,0,404.70001,.12209501,.16241707
2020-07-21,333,404.60001,.026911873,.15233655
2020-07-22,1069.4667,408.60001,.12702461,.127133
2020-07-23,0,279,.48858872,.11306196
2020-07-24,2418.8333,777.83331,.15776293,.19115505
2020-07-25,0,366.625,.2211974,.20007204
2020-07-26,10791.25,2367.5,.03162678,.24864341
2020-07-27,867.20001,357.79999,.092785493,.22479396
2020-07-28,2786.3333,869.16669,.11927078,.12584315
2020-07-29,11307,2739,.17541836,.11622011
2020-07-30,1359.7059,631.70587,.10007507,.10477535
2020-07-31,2019.85,731.04999,.079043783,.12188743
2020-08-01,2097.5,623.25,.071545884,.118452
2020-08-02,0,501,.064231195,.10652077
2020-08-03,256.35715,145.35715,.12314819,.078723982
2020-08-04,4026.6667,1018.6667,.096953951,.084492266
2020-08-05,1196.5909,757.31818,.082910314,.088969804
2020-08-06,1201.3334,1748,.17943777,.091810912
2020-08-07,0,180.35715,.062299419,.12061255
2020-08-08,0,300.33334,.071093291,.10540036
2020-08-10,5219.2002,1263.6,.13195646,.10427683
2020-08-11,2434,1004.25,.080851518,.088449724
2020-08-12,4863,1037.5714,.12759635,.094633758
2020-08-13,2438.4285,892.85712,.16668065,.11346811
2020-08-14,3460,1105,.46027872,.12677124
2020-08-15,0,532.66669,.19388352,.20885181
2020-08-16,1456.8572,288.85715,.088967711,.23710981
2020-08-17,988.36365,592.09088,.12414727,.22745265
2020-08-18,0,272.33334,.0016371211,.2168193
2020-08-19,1252.6666,666.66669,.03970525,.1021589
2020-08-20,3095.5,911.5,.034553628,.063614339
2020-08-21,33840.199,7484.2002,.2640363,.050010815
2020-08-23,0,265.20001,.13209428,.11276506
2020-08-24,2170.9375,874.8125,.035195298,.14356141
2020-08-25,0,1501.5,.26638687,.14377528
2020-08-26,5862,1212.6666,.023082346,.14455882
2020-08-27,7641,1710,.0025726503,.1141897
2020-08-28,932,584.5,.18276936,.08180929
2020-08-29,4459,1584.5,.10640943,.11870281
2020-08-30,0,642.34613,.071964197,.078708448
2020-08-31,5445.75,1709.375,.10118249,.090928912
2020-09-01,158.88235,394.23529,.21375251,.11558137
2020-09-02,6576,2135,.084462725,.12332716
2020-09-03,1658.3334,791.38892,.03511655,.11784048
2020-09-04,4226.25,1159,.21536042,.10862857
2020-09-05,4373,976,.039893996,.13717306
2020-09-06,5953,2107,.00044470583,.093708426
2020-09-08,2503.5833,878.5,.17799582,.08523304
2020-09-09,9218.8887,2581.7778,.25893515,.072778173
2020-09-10,1649.1818,1623.0909,.037460379,.14579189
2020-09-11,2586.9167,965.83331,.043464519,.15813045
2020-09-12,1378.6666,1299.1666,.047288857,.12946397
2020-09-13,7202,2821,.31861264,.096787229
2020-09-14,1603.25,614.75,.14550501,.1117066
2020-09-15,1506.25,443.75,.4700799,.13871776
2020-09-16,6746.3335,1957.3334,.22418313,.2453716
2020-09-17,12523,3045.5,.10592034,.28959516
2020-09-18,3256.1428,775.28571,.081607386,.23642209
2020-09-19,1228.4,580.59998,.10910344,.22044769
2020-09-20,2028,835.85712,.11831287,.13020357
2020-09-21,3376.6667,761.88892,.19104049,.10373601
2020-09-22,0,601,.065330215,.12501605
2020-09-23,1349.1428,431.57144,.077762872,.12094675
2020-09-24,1407.6154,751.9231,.035431169,.11311161
2020-09-25,0,337.84616,.17274001,.092391185
2020-09-26,0,383.39999,.16246134,.087816067
2020-09-27,0,674,.14602329,.11209885
2020-09-28,23702.25,4362,.17384179,.12916395
2020-09-29,2086.7,729.90002,.20815262,.16376661
2020-09-30,27853,3403,.00002514778,.17261976
2020-10-01,1648,618,.18118162,.13201071
2020-10-02,5084.5,1296,.22088367,.1408003
2020-10-03,830.94116,518,.17383534,.15256077
2020-10-05,1228.25,636.75,.32719132,.19196688
2020-10-06,3356,881.79999,.24614936,.24063678
2020-10-07,0,324,.39442319,.24905868
2020-10-08,3967.3333,955.66669,.27146187,.32258797
2020-10-09,1644,755.5,.20477903,.30980644
2020-10-10,9322.5,2250.5,.0017240988,.27920336
2020-10-11,3071.7778,794.44446,.10673159,.21809705
2020-10-12,3753.3333,1807.7333,.083596654,.14617415
2020-10-13,2823.6001,932.79999,.067829125,.099207841
2020-10-14,276.54999,627.25,.10984914,.064970367
2020-10-15,1669.8334,738.66669,.29310647,.092001624
2020-10-16,522.81818,393.45456,.2999464,.13859534
2020-10-17,7681.625,2415.375,.18070066,.19268279
2020-10-18,3893.6667,1046,.00080409739,.22090067
2020-10-19,10473.3,2495.8,.15160993,.19363941
2020-10-20,12209.5,1829,.056491543,.15826528
2020-10-21,5793.8335,1341.8334,.20471184,.097401559
2020-10-22,5734.7998,1690.4,.14881127,.10340435
2020-10-23,980.375,387.75,.12000842,.14040615
2020-10-24,0,192,.22563252,.13250577
